ano,sigla_uf,id_municipio,id_classe_de,id_classe_para,area,chave,valor_pt,valor_en,chave_1,valor_pt_1,valor_en_1
1991,PB,2509701,15,25,0.0407395526733398,15,3.1. Pastagem,3.1. Pasture,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1991,PB,2509701,21,4,2.126654740722655,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2509701,21,15,5.100723968200687,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,15,3.1. Pastagem,3.1. Pasture
1991,PB,2509701,21,21,165.1572998591858,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2509701,21,24,0.0885734295043945,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,24,4.2. Área Urbanizada,4.2. Urban Area
1991,PB,2509701,21,25,0.0345456152954101,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1991,PB,2509701,21,33,0.2293874600219727,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1991,PB,2509701,24,24,1.871548589538574,24,4.2. Área Urbanizada,4.2. Urban Area,24,4.2. Área Urbanizada,4.2. Urban Area
1991,PB,2509701,25,15,0.060220563659668,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,15,3.1. Pastagem,3.1. Pasture
1991,PB,2509701,25,21,0.1310797703857422,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2509701,25,24,0.0221436560668945,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,24,4.2. Área Urbanizada,4.2. Urban Area
1991,PB,2509701,25,25,4.217626062500001,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1991,PB,2509701,25,33,0.0053144998779297,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1991,PB,2509701,33,4,0.1540999454345704,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2509701,33,21,0.0442835311889648,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2509701,33,33,4.451616538574216,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1991,PB,2516607,3,3,0.6781525248413096,3,1.1 Formação Florestal,1.1. Forest Formation,3,1.1 Formação Florestal,1.1. Forest Formation
1991,PB,2516607,4,4,127.2748391491714,4,1.2. Formação Savânica,1.2. Savanna Formation,4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2516607,4,15,1.815061162292481,4,1.2. Formação Savânica,1.2. Savanna Formation,15,3.1. Pastagem,3.1. Pasture
1991,PB,2516607,4,21,0.2596970917358399,4,1.2. Formação Savânica,1.2. Savanna Formation,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2516607,12,12,0.3066560485229491,12,2.2. Formação Campestre,2.2. Grassland,12,2.2. Formação Campestre,2.2. Grassland
1991,PB,2516607,12,15,0.0053170603637695,12,2.2. Formação Campestre,2.2. Grassland,15,3.1. Pastagem,3.1. Pasture
1991,PB,2516607,15,4,0.0974887672729492,15,3.1. Pastagem,3.1. Pasture,4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2516607,15,15,101.7867588824477,15,3.1. Pastagem,3.1. Pasture,15,3.1. Pastagem,3.1. Pasture
1991,PB,2516607,15,21,0.0097485809936523,15,3.1. Pastagem,3.1. Pasture,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2516607,15,24,0.0070899841308594,15,3.1. Pastagem,3.1. Pasture,24,4.2. Área Urbanizada,4.2. Urban Area
1991,PB,2516607,15,25,0.1905561472167969,15,3.1. Pastagem,3.1. Pasture,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1991,PB,2516607,21,4,0.0744530733032226,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2516607,21,15,1.07860847125244,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,15,3.1. Pastagem,3.1. Pasture
1991,PB,2516607,21,21,3.078154076171878,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2516607,24,24,0.3713382019042977,24,4.2. Área Urbanizada,4.2. Urban Area,24,4.2. Área Urbanizada,4.2. Urban Area
1991,PB,2516607,25,15,0.0212699410400391,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,15,3.1. Pastagem,3.1. Pasture
1991,PB,2516607,25,25,1.878924205200191,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1991,PB,2516607,33,4,0.0053176666870117,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2516607,33,15,0.0088623938598633,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",15,3.1. Pastagem,3.1. Pasture
1991,PB,2516607,33,33,0.5530159949340829,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1989,PB,2509701,3,3,0.057570754699707,3,1.1 Formação Florestal,1.1. Forest Formation,3,1.1 Formação Florestal,1.1. Forest Formation
1989,PB,2509701,4,4,702.8786962685122,4,1.2. Formação Savânica,1.2. Savanna Formation,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2509701,4,15,1.036369679016113,4,1.2. Formação Savânica,1.2. Savanna Formation,15,3.1. Pastagem,3.1. Pasture
1989,PB,2509701,4,21,13.42805813214114,4,1.2. Formação Savânica,1.2. Savanna Formation,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2509701,4,25,0.0283542568969727,4,1.2. Formação Savânica,1.2. Savanna Formation,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2509701,4,33,0.0115125032348633,4,1.2. Formação Savânica,1.2. Savanna Formation,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1989,PB,2509701,12,4,0.0168283109130859,12,2.2. Formação Campestre,2.2. Grassland,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2509701,12,12,3.471246061035159,12,2.2. Formação Campestre,2.2. Grassland,12,2.2. Formação Campestre,2.2. Grassland
1989,PB,2509701,12,21,0.0106312536621094,12,2.2. Formação Campestre,2.2. Grassland,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2509701,15,4,0.5180851029052733,15,3.1. Pastagem,3.1. Pasture,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2509701,15,15,97.52542253173701,15,3.1. Pastagem,3.1. Pasture,15,3.1. Pastagem,3.1. Pasture
1989,PB,2509701,15,21,2.427458353454588,15,3.1. Pastagem,3.1. Pasture,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2509701,15,25,0.0912182803955078,15,3.1. Pastagem,3.1. Pasture,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2509701,21,4,3.653543687927247,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2509701,21,15,11.20384886273195,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,15,3.1. Pastagem,3.1. Pasture
1989,PB,2509701,21,21,144.0057950073791,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2509701,21,24,0.0433998685302734,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,24,4.2. Área Urbanizada,4.2. Urban Area
1989,PB,2509701,21,25,0.1505651188964844,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2509701,21,33,0.046925834777832,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1989,PB,2509701,24,24,1.517257502929694,24,4.2. Área Urbanizada,4.2. Urban Area,24,4.2. Área Urbanizada,4.2. Urban Area
1989,PB,2509701,25,21,0.0407436138916016,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2509701,25,25,3.570194434692382,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2509701,33,4,0.5845841328735351,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2509701,33,12,0.0239127474365234,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",12,2.2. Formação Campestre,2.2. Grassland
1989,PB,2509701,33,21,0.0867957956542969,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2509701,33,33,6.109655178039549,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1989,PB,2516607,3,3,0.6781525248413096,3,1.1 Formação Florestal,1.1. Forest Formation,3,1.1 Formação Florestal,1.1. Forest Formation
1989,PB,2516607,4,4,136.7579763624267,4,1.2. Formação Savânica,1.2. Savanna Formation,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2516607,4,15,1.744214082275388,4,1.2. Formação Savânica,1.2. Savanna Formation,15,3.1. Pastagem,3.1. Pasture
1989,PB,2516607,4,21,1.038751722717284,4,1.2. Formação Savânica,1.2. Savanna Formation,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2516607,4,25,0.006204456237793,4,1.2. Formação Savânica,1.2. Savanna Formation,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2516607,4,33,0.0088624450683594,4,1.2. Formação Savânica,1.2. Savanna Formation,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1989,PB,2516607,12,4,0.0115224265136719,12,2.2. Formação Campestre,2.2. Grassland,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2516607,12,12,0.3128593815307616,12,2.2. Formação Campestre,2.2. Grassland,12,2.2. Formação Campestre,2.2. Grassland
1989,PB,2516607,15,4,0.4555418583374025,15,3.1. Pastagem,3.1. Pasture,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2516607,15,15,90.37421615728904,15,3.1. Pastagem,3.1. Pasture,15,3.1. Pastagem,3.1. Pasture
1989,PB,2516607,15,21,0.4200923713378907,15,3.1. Pastagem,3.1. Pasture,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2516607,15,25,0.0248177525634766,15,3.1. Pastagem,3.1. Pasture,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2516607,21,4,0.1914316417236327,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2516607,21,15,0.4971854049682619,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,15,3.1. Pastagem,3.1. Pasture
1989,PB,2516607,21,21,4.461596893859872,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1989,PB,2516607,21,25,0.0053179920654297,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2516607,24,24,0.3509544975585943,24,4.2. Área Urbanizada,4.2. Urban Area,24,4.2. Área Urbanizada,4.2. Urban Area
1989,PB,2516607,25,15,0.0292492905883789,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,15,3.1. Pastagem,3.1. Pasture
